IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;77;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];[' saldējumam\n532%: piens, cukurs, sviests, ūdens, glikozes sīrups, sausās siera sūkalas, saldais krējums, emulgators\ntaukskābju mono- un diglicerīdi, stabilizētāji: baltās akācijas sveķi, amēba sveķi, karagināns, sausais\nvājpiens, dabīgs aromatizētājs. sastāvdaļas piena šokolādei 22%: cukurs, , kakao masa,\npilnpiena pulveris, piena tauki, emuigaian, sojas lecitīni, e476, dabīgs aromatizētājs. sastāvdaļas\naveņu-granātābolu mērcei 18%: ūdens, cukurs, aveņu sulas koncentrāts 5%, granātābolu sulas koncentrāts\n5%, kukurūzas ciete, citronu sulas koncentrāts, dabīgi aromatizētāji, biezinātāji: ksantāna sveķi, baltās\nakācijas sveķi, krāsviela antocianīni. sastāvdaļas glazūrai 8%: augu eļļas {kokosriekstu, rapšu sēklu},\ncukurs, kakao pulveris ar samazinātu tauku saturu, emulgators iecitīni. var'];8;7;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];['siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'pilnpiena pulveris', 'piena tauki', 'piens', 'sviests'];7;1;0;['saldais krējums', 'sausais vājpiens', 'pilnpiena pulveris', 'piena tauki', 'piens', 'sviests', 'siera sūkalas'];['sastāvdaļas piena šokolādei'];[]
n3;34;34;53;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];[': vaniļas saldējums 72 % {ūdens, cukurs, kokosa\ntauki, vājpiena pulveris, glikozes sīrups, sūkalu pulveris, emulgators\ne471, stabilizētāji: e410, e412, vaniļas pulveris, vaniļas aromatizētājs,\nkrāsviela e160a}, vafele 16 % {kviešu milti, cukurs, kokosa tauki,\nemulgators e322 {sojas}, dedzināts cukurs, sāls}, kakao glazūra 10 %\n{kokosa tauki, cukurs, kakao pulveris ar samazinātu tauku saturu, rapšu\neļļa, emulgatori: e322 {sojas}, e476, aromatizētāji, sāls}, zemesrieksti\n1,5 %. var'];2;2;['vājpiena pulveris', 'sūkalu pulveris'];['vājpiena pulveris', 'sūkalu'];2;0;0;['vājpiena pulveris', 'sūkalu'];[];[]
n5;35;35;84;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];[': vājpiens 20%, cukurs, krējums {no piena}, glikozes sīrups, ūdens, kokosrieksts 5.5% {kaltēti\nkokosrieksti,  pulveris}, , kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens, cepumi ar kokosriekstiem 1.8% {cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija\nkarbonāti}, piena tauki, laktoze, sūkalu permeāts {no pora, emulgatori {sojas iecitīns, e471}, dabīgs aromatizētājs, stabilizētāji {e410, e412},\n\nātrij | iena}. var: zemesriekstus, mandeles, lazdu riekstus.uzturvērtība 100 g: enerģētiskā vērtība 1124 kj/ 269 kcal,\nnātrija kazeināts {no piena}. var babes 44 r mbit 97 r baro tarnms mini 27 m nbhalthimvialas 3714 cāla {19 m | znahāt tamneratūrā -18\n\n'];12;8;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'vājpiens', 'laktoze', 'sūkalu'];8;4;0;['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'laktoze', 'vājpiens', 'sūkalu'];['no piena', 'piena olbaltumvielas', 'no piena', 'no piena'];[]
n6;44;44;59;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];[': tumšā šokolāde 40% {kakao masa, cukurs, , emulgators: sojas lecitīns, dabīgs\nvaniļas aromatizētājs}, piena šokolāde {cukurs, , pilnpiena pulveris, kakao masa, emulgators:\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas {palmu, rapšu}, piena tauki}, saldais krējums {saldais\nkrējums, emulgators: e471, stabilizētājs: karagināns}, amber šokolāde {cukurs, , vājpiena\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu iecitīns, dabīgs vaniļas aromatizētājs}, balzams\n3% {alc. 40% tilp.}, rudzu rīvmaize, mokas aromātpasta, glikozes sīrups {glikozes sīrups, antioksidants: sēra\ndioksīds}, kaltētas dzērvenes.\n\n'];8;6;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena'];6;2;0;['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena'];['saldais krējums', 'piena tauki'];[]
n7;25;25;36;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];[': cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize {satur\nkviešus, rudzus, miežus}, krējums, sāls, augu valsts šķiedrvieļas, āromatizētāji {satur rauga ekstraktu}, skābuma regulētāji: e262, e331, sviesta pulveris,\nbiezinātājs £415, antioksidanti:askorbīns un citronskābe, dēlstroze, cukurs, garšvielu ekstrakti.\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa fileja', 'gaļa', 'olu baltuma', 'cāļu ādas', 'sviesta pulveris', 'krējums'];6;0;0;['cāļa fileja', 'cāļu ādas', 'sviesta pulveris', 'krējums', 'gaļa', 'olu baltuma'];[];[]
n11;30;30;60;['cāļa gaļa', 'dzeramais ūdens', 'vistas āda', 'kviešu milti', 'kalcija karbonāts', 'dzelzs', 'b3 un b1 vitamīni', 'raugs', 'garšvielas', 'paprika', 'kurkuma', 'kviešu glutēns', 'saulespuķu eļļa', 'ciete', 'rīsu milti', 'irdinātāji', 'difosfāts', 'nātrija hidrogēnkarbonāts', 'dekstroze', 'kviešu šķiedras', 'piena olbaltumvielas', 'satur laktozi', 'maltodekstrīns', 'skābuma regulētāji', 'amonija karbonāts', 'nātrija acetāts', 'citronskābe', 'antioksidants', 'askorbīnskābe', 'sāls'];[": cāļa gaļa 47'1, dzeramais ūdens, vistas āda, kviešu milti {kalcija karbonāts, dzelzs,\nb3 un bi vitamīni}, raugs, garšvielas paura kurkuma}, kviešu glutēns, a eļļa, ciete, rīsu milti,\niet difosfāts, nātrija hidrogēnkarbonāts, dekstroze, kvieš šķiedras, piena olbaltumvielas {satur\nlaktozi}, maltodekstrīns, skābuma regulētāji: amonija karbonāts, nātrija acetāts, citronskābe, antioksi-\ndants: askorbīnskābe, sāls. var: soja, rieksti, sinepes, selerija. 100 g produkta vidēji satur: enerģē-\n\nkaka at. nn i\n\n"];4;4;['cāļa gaļa', 'vistas āda', 'piena olbaltumvielas', 'satur laktozi'];['cāļa gaļa', 'vistas āda', 'piena', 'laktozi'];4;0;0;['cāļa gaļa', 'vistas āda', 'piena', 'laktozi'];[];[]
n13;58;58;90;['maize', 'kviešu milti', 'ūdens', 'cukurs', 'rudzu milti', 'raugs', 'rapšu eļļa', 'sāls', 'inaktivēts rudzu ieraugs', 'emulgatori', 'e471', 'e472e', 'kviešu lipeklis', 'irdinātājs e503', 'miltu apstrādes līdzeklis e300', 'cepta vistas gaļa', 'vistas gaļa', 'garšvielas', 'garšvielu ekstrakti', 'jodēts sāls', 'aromatizētāji', 'ķiploku granulas', 'sīpolu pulveris', 'melnie pipari', 'paprika', 'majonēze', 'ūdens', 'rapšu eļļa', 'cukurs', 'modificēta ciete', 'sinepes', 'ūdens', 'sinepju sēklas', 'spirta etiķis', 'sāls', 'garšvielas', 'olu dzeltenuma pulveris', 'skābe e260', 'sāls', 'stabilizētāji', 'e412', 'e415', 'e401', 'e410', 'glikozes sīrups', 'marinēti gurķi', 'gurķi', 'spirta etiķis', 'sāls', 'cukurs', 'siers', 'piens', 'sāls', 'ierauga kultūras', 'siera ferments', 'ķiploku granulas', 'sīpolu pulveris', 'pētersīļi'];[': maize 44% {kviešu milti, ūdens, cukurs, rudzu milti,\nraugs, rapšu eļļa, sāls, inaktivēts rudzu ieraugs, emulgatori: e471, £472e, kviešu lipeklis, irdinātājs e503, miltu\napstrādes līdzeklis e300}, cepta vistas gaļa 18% {vistas gaļa 95%, garšvielas, garšvielu ekstrakti, jodēts sāls,\naromatizētāji, ķiploku granulas, sīpolu pulveris, melnie pipari, paprika}, naonēz 16% {ūdens, iepa eļļa,\ncukurs, modificēta ciete, sinepes {ūdens, sinepju sēklas, spirta etiķis, sāls, garšvielas}, olu dzeltenuma\npulveris, skābe e260, sāls, stabilizētāji: e412, e415, e401, e410, glikozes sīrups}, marinēti gurķi 11% {gurķi,\nspirta etiķis, sāls, cukurs}, siers 11% {piens, sāls, ierauga kultūras, siera ferments}, ķiploku granulas, sīpolu\npulveris, pētersīļi. var. izlietot līdz: skatīt uz iepakojuma.\n\n'];6;5;['cepta vistas gaļa', 'vistas gaļa', 'olu dzeltenuma pulveris', 'siers', 'piens', 'siera ferments'];['siera ferments', 'vistas', 'vistas', 'olu', 'siers'];5;1;0;['siera ferments', 'siers', 'vistas', 'vistas', 'olu'];['piens'];[]
n14;4;4;7;['pasterizēts govs piens', 'pārtikas ražošanas sāls', 'ieraugs', 'mikrobiooģiskais ferments'];[':\npasterizēts govs piens, pārtikas ražošanas sāls,\nieraugs, mikrobioloģiskais ferments.\n\n'];1;1;['pasterizēts govs piens'];['govs piens'];1;0;0;['govs piens'];[];[]
n15;21;21;28;['biezpiens', 'sviests', 'vīnogu lapas', 'vīnogu lapas', 'antioksidanti', 'e223', 'e224', 'sāls', 'skābuma regulētājs', 'citronskābe', 'e330', 'ķiploki', 'olīvas', 'sāls', 'biezinātāji', 'e407', 'e415', 'pētersīļi', 'maurloki', 'dilles', 'konservants kālija sorbāts'];[': biezpiens,\nsviests, vīnogu lapas 8% {vīnogu lapas, antioksidanti:\n{e223, e224}, sāls, skābuma regulētājs: citronskābe\n{e330}}, ķiploki 6%, olīvas 1,5%, sāls, biezinātāji: {e407,\ne415}, pētersīļi, maurloki, dilles, konservants kālija\nsorhāts. uzturvērtība 1009/100m| produkta: enerģētiskā\n\n'];2;1;['biezpiens', 'sviests'];['biezpiens'];1;1;0;['biezpiens'];['sviests'];[]
n20;21;21;26;['aunazirņi', 'rapšu eļļa', 'sezama pasta', 'burkāni', 'ūdens', 'mango biezenis', 'mango', 'cukurs', 'kokosriekstu piena pulveris', 'kokosriekstu piens', 'maltodekstrīns', 'piena olbaltumvielas', 'kokosrieksti', 'cukurs', 'sāls', 'skābe e330', 'ķiploki', 'konservanti', 'e211', 'e202', 'garšvielas'];[': aunazirņi 42% rapšu\neļla, sezama pasta, burkāni, ūdens, mango biezens 8% {mango 90%, cukurs},  pulveris 20 ,\nmaltodekstrīns, piena olbaltumvielas}, kokosrieksti 2%, cukurs, sāls, skabe e330, ķiploki, konservanti: e211, e202, garšvielas. 100 gprodukta\n\n'];1;1;['piena olbaltumvielas'];['piena'];1;0;0;['piena'];[];[]
