IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;0;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['\n'];8;0;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[];0;8;0;[];['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[]
n2;45;45;84;['rudzu milti', 'margarīns', 'augu eļļas', 'palmu rsp0 s6', 'rapšu', 'ūdens', 'pārtikas sāls', 'emulgatori', 'e322 rapšu', 'e471', 'skābuma regulētājs e330', 'sviesta aromatizētājs', 'krāsviela beta', 'karotīns', 'pūdercukurs', 'kviešu milti', 'miežu iesala ekstrakts', 'pildījums', 'glikozes', 'fruktozes sīrups', 'cukurs', 'skābuma regulētājs e330', 'aromatizētājs', 'garšvielas', 'kanēlis', 'krustnagliņas', 'muskatrieksts', 'smaržīgie pipari', 'koriandrs', 'ingvers', 'melnie pipari', 'kardamons', 'sausais maisījums', 'sojas milti', 'kviešu ciete', 'irdinātāji', 'e500', 'e450', 'sūkalu pulveris', 'dekstroze', 'kvieši kukurūza', 'sāls', 'aromatizētāji', 'vaniļas', 'sviesta'];[': rudzu milti {40%}, margarīns {augu eļļas {palmu rspo 56, rapšu}, . informācija par uzturvērtību + 100g produkta satur\n\nūdens, pārtikas sāls, emulgaton {e322 rapšu, e471}, skābuma regulētājs e330, sviesta 4 = et\naromatizētājs, krāsviela beta-karotīns}, pūdercukurs, kviešu milti, miežu iesāla | 2991 10/556 kcal\nekstrakts, pildījums {glkozes fruktozes sīrups cukurs, skābuma regulētājs £330 tauki, tostarp: " 2309 |\naromalizātājs}, garšvielas {kanēlis. krustnēglijas, muskatrieksts, smarčīgie pipari seesatīmatās tukokon att 184\n\nt\n\nkofiandrs. ingvers, melnie pipari, kardzmons}, sausais maisījums {sojasmilt, kviešu +\n\nmiete. irdinātāji {e500. e450}, sūkalu pulveris, dekstroze |kvieši kukurūza sāls > ogļhidrāti, tostarp\n\'āromatizētāji vantlas, sviesta}}\n\nvar'];3;3;['sviesta aromatizētājs', 'sūkalu pulveris', 'sviesta'];['sūkalu pulveris', 'sviesta', 'sviesta'];3;0;0;['sūkalu pulveris', 'sviesta', 'sviesta'];[];[]
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['\n'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n4;28;28;28;['atjaunots vājpiens', 'cukurs', 'kakao tauki', 'ūdens', 'kokosriekstu tauki', 'mandeles', 'vājpiena pulveris', 'glikozes sīrups', 'glkozes', 'fruktozes sīrups', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'kakao masa', 'emulgatori', 'e471', 'e442', 'e476', 'ekstrahētu vaniļas pupiņu gabaliņi', 'stabilizētāji', 'ceratoniju augļu sveķi', 'guāra sveķi', 'karagināns', 'dabīgs vaniļas aromatizētājs', 'ar pienu', 'aromatizētājs', 'krāsviela', 'karotīni'];['uu\n\nzm\n\nzitetām\n\nrp, m ierfett, karageninas},\ncnoien, tabilisat aarule di\noff {carotin}. kann soja riešutu. be glitimo\n\nigatori {e471, e42\naka karagnāns}, dadīgi\nve tus riekstus. nesaīī\n\nown\n\n\n'];6;0;['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[];0;6;0;[];['atjaunots vājpiens', 'vājpiena pulveris', 'sviesta eļļa', 'sūkalu sausna', 'piens', 'ar pienu'];[]
n5;35;35;151;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];[': vājpiens 20%, cukurs, krējums {no piena}, glikozes sīrups, ūdens, kokosrieksts 5.5% {kaltēti\nkokosrieksti,  pulveris}, , kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens, cepumi ar kokosriekstiem 1.8% {cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija\nkarbonāti}, piena tauki, laktoze, sūkalu permeāts {no iradaaks emulgatori {sojas iecitīns, e471}, dabīgs aromatizētājs, stabilizētāji {e410, e412},\nnātrija kazeināts {no piena}. var: zemesriekstus, mandeles, lazdu riekstus.uzturvērtība 100 g: enerģētiskā vērtība 1124 kj/ 269 kcal,\ntauki 16 g, tostarp piesātinātās taukskābes 11 g, ogļhidrāti 27 g, tostarp cukuri 23 g, olbaltumvielas 3,1 g, sāls 0,12 g. uzglabāt temperatūrā -18\n6 pēc atlaidināšanas atkārtoti nesasaldēt. ieteicams līdz derīguma termiņa beigām: skatīt uz iepakojuma. mars latvia sia, sporta iela 11, lv-\n1013 rīga =80002005, inftormoeffem.com. ee kookospāhkli-piimajāštis 63% kakaoglasuuriga 34%, millele on tipitud kookospāhkliga\nkrēbedad kūpsised 1.8%. koostisosad: lēss 20%, suhkur, koor {piimast}, miera vesi kookospāhke 5.5% n mati araa\na n kakaovēi kookosrasv, kakaomass, lēssipulber, palmirasv, magustatud kondensioss, kkookospāhkilga kupsise 10\n\ndvukuviu 100=|9 ut} no\n\nao€\n\ngros ?t w\n\n»» pd ,\n\n'];12;9;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'vājpiens', 'laktoze', 'sūkalu', 'mati'];8;4;1;['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'laktoze', 'vājpiens', 'sūkalu'];['no piena', 'piena olbaltumvielas', 'no piena', 'no piena'];['mati']
n6;44;44;189;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['.\nšokolādes konfektes apvieno garšas, kas pilnas\nmaiguma un reibinošas laimes sajūtas.\nšokolāde ir dabisks laimes avots, dāvājiet to sev\nun saviem mīļajiem!\n\nsastāvdaļas: tumšā šokolāde 40% {kakao masa, cukurs, , emulgators: sojas lecitīns, dabīgs\nvaniļas aromatizētājs}, piena šokolāde {cukurs, , pilnpiena pulveris, kakao masa, emulgators:\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas {palmu, rapšu}, piena tauki}, saldais krējums {saldais\nkrējums, emulgators: e471, stabilizētājs: karagināns}, amber šokolāde {cukurs, , vājpiena\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu iecitīns, dabīgs vaniļas aromatizētājs}, balzams\n3% {alc. 40% tilp.}, rudzu rīvmaize, mokas aromātpasta, glikozes sīrups {glikozes sīrups, antioksidants: sēra\ndioksīds}, kaltētas dzērvenes.\n\nenerģētiskā vērtība: 2104 kj/ 504 kcal. 100 g produkta satur: taukus 33 g, tostarp piesātinātās taukskābes\n20 g, ogļhidrātus 44 g, tostarp cukuri 37 g, olbaltumvielas 448 g, sāli 0,21 g.\n\nieteicamā uzglabāšanas temperatūra: +15 ”c līdz +20 *c. pēc atvēršanas izlietot 10 dienu laikā. produkta\ngatavošana notiek vidē, kur var atrasties zemesriekstu, lazdu riekstu, valriekstu, mandeļu, pistāciju, sezama\nsēklu, olu, piena, sojas, kviešu un rudzu miltu daļiņas.\n\nneto daudzums: m produkts ražots: sia „lāči”, „benūžu - skauģi”, babītes\ned - :\n108 io pagasts, mārupes novads, lv-2107, latvija.\ng tālr.: +37166047551, e-pasts: infoolaci.lv, www.laci.lv\n\na = a ieteicams līdz:\nge sos skatīt uz iepakojuma\n"bl 9/7\n05.04 72\n\nai ņ 3610010\n\n\n'];8;7;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena', 'olu'];6;2;1;['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena'];['saldais krējums', 'piena tauki'];['olu']
n7;25;25;117;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];[': cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize {satur\nkviešus, rudzus, miežus}, krējums, sāls, augu valsts šķiedrvieļas, āromatizētāji {satur rauga ekstraktu}, skābuma regulētāji: e262, e331, sviesta pulveris,\nbiezinātājs e415, antioksidanti: askorbīns un citronskābe: dēlsstroze, cukurs, garšvielu ekstrakti.\n\nz 100gproduktavidēji satur: enerģētiskā vērtība 940 13/225 kcal, tauki 13 g, tostarp piesātinātās taukskābes 3,3 g, ogļhidrāti 13 g, tostarp cukuri 1,7 g, dei:\n- olbaltumvielas 14 g, sāls 1,5 g. uzglabāšanas temperatūra: +2...+67c. izīž\n\n|\n\n4 740003 01037\n\nproduktā iespējama šādu alergēnu klātbūtne: soja,\nsinepes, selerijas un auzas. produkts cepts rapšu eļļā.\niepakots aizsargatmosfērā. pēc iepakojuma atvēršanas\nizlietot 48h laikā. ražots igaunijā. g\n\nizplatītājs: as "hkscan latvia", atlasa ž m\nrīga, lv-1026. tālrunis atsauksmēm: 80005100.\n{} z: {} 2 } 3 www.miesnieks.lv\n\nizlietot līdz:\n\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa fileja', 'gaļa', 'olu baltuma', 'cāļu ādas', 'sviesta pulveris', 'krējums'];6;0;0;['cāļa fileja', 'cāļu ādas', 'sviesta pulveris', 'krējums', 'gaļa', 'olu baltuma'];[];[]
n8;37;37;73;['makaroni bez olām', 'kviešu milti', 'palmu eļļa', 'sāls', 'cukurs', 'skābuma regulētāji', 'nātrija karbonāti', 'kālija karbonāti', 'biezinātājs guāra sveķi', 'garšvielas', 'sāls', 'aromāta un garšas pastiprinātāji', 'mononātrija glutamāts', "dinātrija5'", 'ribonukleotīdi', 'kaltēti dārzeņi', 'sīpoli', 'burkāni', 'pastinaki', 'ķiploki', 'maltodekstrīns', 'cukurs', 'garšvielu maisījums', 'karijs', 'kumīns', 'koriandrs', 'melnie pipari', 'alpinia galanga', 'ingvers', 'pētersīļi', 'kurkuma', 'melnie pipari', 'asie pipari', 'aromatizētājs', 'satur olas', 'rauga ekstrakts', 'saulespuķu eļļa'];[": makaroni-b ābume 7 {, a\nj medžiagos: {92,3%}: kviešu milti, palmu eļļa, sāls, cukurs, s sētā v\npuķeniu derva, regulētāji: nātrija karbonāti, kālija karbonāti, ij\nmo stiprikfiāi: guāra sveķi, garšvielas {7,7 %}: sāls, aromāta lamēk\nbonukleotidai, pastiprinātāji: mononātrija = / rsīgāk\npastamokai, dinātrija5'-ribonukleotīdi, kaltēti din cukuts\nļmišinys {karis burkāni, pastinaki, ķiploki}, maltodekstrīvi. melt\nsi0s alpinijos, garšvielu maisījums {karijs {kumīns kri kurku\npipirai, aitrieji pipari, alpinia galanga, nee lētājs au olas!\nšiniu}, mieliy melnie pipari, asie pipari}, aromā\nrauga ekstrakts, saulespuķu €}8.\n\n\n"];1;1;['satur olas'];['olas'];1;0;0;['olas'];[];[]
n9;22;22;161;['cukurs', 'kviešu milti', 'augu tauki', 'palmu', 'basijas', 'šokolādes skaidiņas', 'cukurs', 'kakao masa', 'kakao sviests', 'sausais piens', 'piena tauki', 'aromatizētājs', 'sausās sūkalas', 'sviests', 'piens', 'kakao pulveris ar samazinātu tauku saturu', 'olu pulveris', 'ciete', 'emulgators saulespuķu lecitīni', 'irdinātājs nātrija hidrogēnkarbonāts', 'sāls', 'aromatizētājs'];[' cūkurs, kviešu milti, augu tauki {palmu, basijas}, šokolādes skaidiņas 13% {cukurs, kakao masa, , sausais piens, piena tauki, aromatizētājs}, sausās sūkalas, sviests\n{piens}, kakao pulvesis ar samazinātu tātlktr saturu, olu pulveris ciete, ēmulgators saulespuķu lecitīni, rdinātājs nātrija hidrogēnkarbonāts, sāls, aromatizētājs. var. uzglabāt sausā vietā {183} { temperatūrā. €*8\nchocolate\n\nwafer cake vith<docolate flakes īrīfele. ingredients, sugar, wheat flour, vegetablefat {palm, shea}, chocolate flakes 13% {sugar, cocoa mass, cocoa butte whole milk powder, butter fat, flavouring}, whey powder, butter {milk}, low fat cocoa\n\nnowder, egg powder, stardi, emulsifie sumtlonerecithins,raisīīg agent sodium tiydrogen carbonate, salt, flavouring. may contain traces of nuts and peanuts, keep dry {183}\n\n24%\nprotein/protein 3g\n\ngb dauerbackware mit sdokoladenstikchen īrīfele, zutaten: zuder,\n\nnutrition facts/valeur nutritive\n7 servings.per container/doses par emballage ā\n\nserving size/portion 1/7 pieces {50 g}/ 1/7 piēecē\namount per serving/guantitē par portion\n\ncalories/calories 260\n\n% daily value*/% valeur guotidienne*\n\ntotal fat/lipides total 15g 19%\nsaturated fat/saturēs 8g : 40%\ntrans fat/trans 0g\n\ncholesterol/cholestērol <5mg 1%\n\nsodium/sodium 45mg 2%\n\ntotal carbohydrate/glucides 28g 10%\ndietary fiber/fibres 2g 7%\ntotal sugars/sucres 18g\n\n4\n\nincludes 12g added sugars/comprend 12g de sucres ajoutēs\n\n\n'];6;5;['sausais piens', 'piena tauki', 'sausās sūkalas', 'sviests', 'piens', 'olu pulveris'];['sausais piens', 'piena tauki', 'sviests', 'olu pulveris', 'sūkalas'];5;1;0;['sausais piens', 'piena tauki', 'sviests', 'olu pulveris', 'sūkalas'];['piens'];[]
n10;15;15;0;['piens', 'karameļu piedeva', 'cukurs', 'ūdens', 'dedzināta cukura sīrups', 'dabīgs aromatizētājs', 'karamele', 'biezinātāji', 'guāra sveķi', 'karagināns', 'vitamīni a', 'b6', 'b12', 'd', 'folijskābe'];['\n'];1;0;['piens'];[];0;1;0;[];['piens'];[]
