IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;179;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];[' saldējumam sauce and milk chocolai\n52%: piens, cukurs, sviests, ūdens, glikozes a vēē sausās siera sūkalas, saldais krējums, emulgators cream 52%: milk, sugar, butter, 1\ntaukskābju mono- un diglicerīdi, stabilizētāji: baltās akācijas sveķi, al sveķi, karagināns, sausais mono and a ieas of fatty acid\ntipiem, dabīgs aromatizētājs. sastāvdaļas piena šokolādei 22%: cukurs, , kakao masa, skimmed milk powder, natural fi\npilnpiena pulveris, piena tauki, emuigātas: sojas lecitīni, e476, dabīgs amis sastāvdaļas butter, cocoa mass, whole milk po\nrā in maa mērcei 18%: ūdens, cukurs, aveņu sulas koncentrāts 5%, granātābolu sulas koncentrāts flavouring. raspberry-pomegranate\n5%, kukurūzas ciete, citronu sulas koncentrāts, dabīgi aromatizētāji, i zmt ksantāna sveķi, baltās pomegranate juice concentrate 5%,\nakācijas sveķi, krāsviela antocianīni. sastāvdaļas glazūrai 8%: augu eļļas {kokosriekstu, rapšu sēklu}, thickener: xanthan gum, locust be\ncukurs, kakao pulveris ar samazinātu tauku saturu, emulgators fecitīni. var{coconut, rapeseed}, sugar, fat redu\nzemesriekstu, riekstu, olu daļiņas. uzglabāšanas em ne mda kā-187c. ražošanas datums of sii peanut, nuts and egg\nun izlietot līdz, skatīt uz iepakojuma sāna. ražotājs: as „rīgas piena kombinats , bauskas iela 180, rīga, and best before date: see on he\nlv-1004, latvija. bezmaksas tālrunis atsauksmēm: +371 80001110. kombināts”, bauskas street 180, ri\n\nee ā -\nra pa :\nee\n| 67% a\n\n'];8;8;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];['siera sūkalas', 'saldais krējums', 'pilnpiena pulveris', 'piena tauki', 'piens', 'sviests', 'olu', 'piena'];7;1;1;['saldais krējums', 'pilnpiena pulveris', 'piena tauki', 'piens', 'sviests', 'siera sūkalas', 'piena'];['sausais vājpiens'];['olu']
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['},\nt\n\n'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n5;35;35;168;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];[": vājpiens 20%, cukurs, krējums {no piena}, glikozes sīrups, ūdens, kokosrieksts 5.5% {kaltēti '\nkokosrieksti,  pulveris}, , kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens, cepumi ar kokosriekstiem 1.8% {cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija w\nkarbonāti}, piena tauki, laktoze, sūkalu permeāts {no na, emulgatori {sojas iecitīns, e471}, dabīgs aromatizētājs, stabilizētāji {e410, e412},\nnātrija kazeināts {no piena}. var: zemesriekstus, mandeles, lazdu riekstus.uzturvērtība 100 g: enerģētiskā vērtība 1124 kj/ 269 kcal,\ntauki 16 g, tostarp piesātinātās taukskābes 11 g, ogļhidrāti 27 g, tostarp cukuri 23 g, olbaltumvielas 3,1 g, sāls 0,12 la uzglabāt temperatūrā -18 |\n6 pēc atlaidināšanas atkārtoti nesasaldēt. ieteicams līdz derīguma termiņa beigām: skatīt uz iepakojuma. mars latvia sia, sporta iela 11, lv- '\n1013 rīga =80002005, inftormoeffem.com. ee kookospāhkli-piimajāātis 63% kakaoglasuuriga 34%, millele on tipitud kookospāhkliga |\nkrēbedad kūpsised 1.8%. koostisosad: loss 20%, suhkur, koor eteiļ glūkoosisiirup, vesi, kookospāhkel 5.5% {kuivatatud kookospāhkel,\n kookospiimapulber}, kakaovēi, kookosrasv, kakas, esi b es pa aaa naadid} pilmerasv_ laktoos” vadekupermeaat\nv {tsunkur, koo kosnebved 25% nisutārklis, nisujahu, piimavalk, kei gitusaine naatriumkarbonaadi | 2} :\n4 e\n, j . a š —-\nī „n , vn . ' rs\n„ ji m j\n\n"];12;8;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'vājpiens', 'laktoze', 'sūkalu'];8;4;0;['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'laktoze', 'vājpiens', 'sūkalu'];['no piena', 'piena olbaltumvielas', 'no piena', 'no piena'];[]
n6;44;44;183;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['.\n: ā sokolādes konfektes apvieno garšas, kas pilnas\n| i maiguma un reibinošas laimes sajūtas.\n} sokolāde ir dabisks laimes avots, dāvājiet to sev\nun saviem mīļajiem!\n\nsastāvdaļas: tumšā šokolāde 40% {kakao masa, cukurs, , emulgators: sojas lecitīns, dabīgs\n\nvaniļas aromatizētājs}, piena šokolāde {cukurs, , pilnpiena pulveris, kakao masa, emulgators: āā\n\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas {palmu, rapšu}, piena tauki}, saldais krējums {saldais\n\nkrējums, emulgators: e471, stabilizētājs: karagināns}, amber šokolāde {cukurs, , vājpiena\n\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu lecitīns, dabīgs vaniļas aromatizētājs}, balzams\n\n3% {alc. 40% tilp.}, rudzu rīvmaize, mokas aromātpasta, glikozes sīrups {glikozes sīrups, antioksidants: sēra\n\ndioksīds}, kaltētas dzērvenes.\n\nenerģētiskā vērtība: 2104 k}/ 504 kcal. 100 g produkta satur: taukus 33 g, tostarp piesātinātās taukskābes\n\n20 g, ogļhidrātus 44 g, tostarp cukuri 37 g, olbaltumvielas 4,8 g, sāli 0,21 g.\n\nieteicamā uzglabāšanas temperatūra: +15 ”c līdz +20 *c. pēc atvēršanas izlietot 10 dienu laikā. produkta }\n\ngatavošana notiek vidē, kur var atrasties zemesriekstu, lazdu riekstu, valriekstu, mandeļu, pistāciju, sezama\n\nsēklu, olu, piena, sojas, kviešu un rudzu miltu daļiņas.\n\nneto daudzums: n x produkts ražots: sia „lāči”, „benūžu - skauģi”, babītes\n\n1 08 wt {0} ce pagasts, mārupes novads, lv-2107, latvija.\ng tālr.: +37166047551, e-pasts: infoolaci.lv, www.laci.lv\n, ieteicams līdz:\nul 417522361001011\n\n'];8;7;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena', 'olu'];6;2;1;['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'piena'];['saldais krējums', 'piena tauki'];['olu']
n7;25;25;134;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];[': cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize {satur as fs\nkviešus, rudzus, miežus}, krējums, sāls, augu valstsšķiedrvieļas, āromatizētāji {satur rauga ekstraktu}, skābuma regulētāji: e262, e331, sviesta pulveris, a\nā biezinātājs e415, antioksidanti:askorbīns un citronskābe, dēlstroze, cukurs, garšvielu ekstrakti. | , g |\n100g produkta vidēji satur: enerģētiskā vērtība 940 kj / 225 kcal, tauki 13 g, tostarp piesātinātās taukskābes 3,3 g, ogļhidrāti 13 g, tostarpcukuri 174, 8 ,: : ::\ni ? olbaltumvielas 14g, sāls 1,5 g. uzglabāšanas temperatūra: +2...+6 c. bt\nvmviezts\nproduktā iespējama šādu alergēnu klātbūtne: soja, vir : s\ne} sinepes, selerijas un auzas. produkts cepts rapšu eļļā. } vv eu\n% lepakots aizsargatmosfērā. pēciepakojuma atvēršanas base\ns izlietot 48h laikā. ražots igaunijā. m s\ndan 4 "740003 " e4373 15\n- «n izlietot līdz: izplatītājs: as "hkscan latvia", atlasa iela 7, vas\n- s {204398 rīga, lv-1026. tālrunis atsauksmēm: 80005100. cs js\n %. | ls\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa fileja', 'gaļa', 'olu baltuma', 'cāļu ādas', 'sviesta pulveris', 'krējums'];6;0;0;['cāļa fileja', 'cāļu ādas', 'sviesta pulveris', 'krējums', 'gaļa', 'olu baltuma'];[];[]
n11;30;30;143;['cāļa gaļa', 'dzeramais ūdens', 'vistas āda', 'kviešu milti', 'kalcija karbonāts', 'dzelzs', 'b3 un b1 vitamīni', 'raugs', 'garšvielas', 'paprika', 'kurkuma', 'kviešu glutēns', 'saulespuķu eļļa', 'ciete', 'rīsu milti', 'irdinātāji', 'difosfāts', 'nātrija hidrogēnkarbonāts', 'dekstroze', 'kviešu šķiedras', 'piena olbaltumvielas', 'satur laktozi', 'maltodekstrīns', 'skābuma regulētāji', 'amonija karbonāts', 'nātrija acetāts', 'citronskābe', 'antioksidants', 'askorbīnskābe', 'sāls'];['t  frodukis 0 cepts le\n. ia s 9 fadš s : 2: 4 m m ge u pi a 4 g ča\nmā gatavs lietosanai saulespuku ellā | p rotei jots\nv% lt, | a zin 0be | | |\n: š ju | ea dnka. | | {v | u\nte | atrija norocdēn ona e kviešu škie |\n: | pksiti kaduma ennulpeta mon 5100 a |\nč : inskaadpe: sas. va lute |} | pdp du u {0\na vvt m u k |} nkra | | ne na | skade | || |\nri 08 g, olbaltumvielas 12.0 g, sā bāt temperatūrā +2 t līd 4"751015\'685367 n\ngut uz eukeles. iedako | {0amoosi€ : epakojuma atvēršanas izlieto 1\n\n- 1420! ia valtas na 104 | e etvarde, ugres novads, lv atvija 9\n\nā a ā a v š j\n< n , % š ā p jj\na " ē 2 — : āā "i . āū ā e\n\nor n č - es a ģ 4 -- a 4 m\n\n———— das io šā\n< ass , lenss\n%\n"8\n\n'];4;0;['cāļa gaļa', 'vistas āda', 'piena olbaltumvielas', 'satur laktozi'];[];0;4;0;[];['cāļa gaļa', 'vistas āda', 'piena olbaltumvielas', 'satur laktozi'];[]
n13;58;58;257;['maize', 'kviešu milti', 'ūdens', 'cukurs', 'rudzu milti', 'raugs', 'rapšu eļļa', 'sāls', 'inaktivēts rudzu ieraugs', 'emulgatori', 'e471', 'e472e', 'kviešu lipeklis', 'irdinātājs e503', 'miltu apstrādes līdzeklis e300', 'cepta vistas gaļa', 'vistas gaļa', 'garšvielas', 'garšvielu ekstrakti', 'jodēts sāls', 'aromatizētāji', 'ķiploku granulas', 'sīpolu pulveris', 'melnie pipari', 'paprika', 'majonēze', 'ūdens', 'rapšu eļļa', 'cukurs', 'modificēta ciete', 'sinepes', 'ūdens', 'sinepju sēklas', 'spirta etiķis', 'sāls', 'garšvielas', 'olu dzeltenuma pulveris', 'skābe e260', 'sāls', 'stabilizētāji', 'e412', 'e415', 'e401', 'e410', 'glikozes sīrups', 'marinēti gurķi', 'gurķi', 'spirta etiķis', 'sāls', 'cukurs', 'siers', 'piens', 'sāls', 'ierauga kultūras', 'siera ferments', 'ķiploku granulas', 'sīpolu pulveris', 'pētersīļi'];[': maize 44% {kviešu milti, ūdens, cukurs, rudzu milti,\nraugs, rapšu eļļa, sāls, inaktivēts rudzu ieraugs, emulgatori: e471, £472e, kviešu lipeklis, irdinātājs e503, miltu\napstrādes līdzeklis 300}, cepta vistas gaļa 18% {vistas gaļa 95%, garšvielas, garšvielu ekstrakti, jodēts sāls,\naromatizētāji, ķiploku granulas, sīpolu pulveris, melnie pipari, paprika}, nomas 16% {ūdens, apa eļļa,\ncukurs, modificēta ciete, sinepes {ūdens, sinepju sēklas, spirta etiķis, sāls, garšvielas}, olu dzeltenuma\npulveris, skābe e260, sāls, stabilizētāji: e412, e415, e401, e410, glikozes sīrups}, marinēti gurķi 11% {gurķi,\nspirta etiķis, sāls, cukurs}, siers 11% {piens, sāls, ierauga kultūras, siera ferments}, ķiploku granulas, sīpolu\npulveris, pētersīļi. var. izlietot līdz: skatīt uz iepakojuma.\nuzglabāt temperatūrā no +2 "c līdz +6 "c. ražots lietuvā pēc īpaša rimi pasūtījuma. maizes, vistas izcelsme:\nes. izplatītājs latvijā: sia rimi latvia, a. deglava iela 161, rīga, lv-1021. bezmaksas tālrunis atsauksmēm\nlatvijā: 80000 180. lepakots aizsargatmosfērā. «\nkea skandinaviškas sumuštinis su vištiena. sudedamosios dalys: duona 44% {kvietiniai —— «\ncukrus, ruginiai miltai, mielēs, rapsu aliejus, druska, inaktyvintas ruginis raugas, emulsikliai: ištiena 18%\nkviečiu glītimas, tešlos kildymo medžiaga e503, milty apdorojimo medžiaga e300}, kepta is svogūnu\n{vištiena 95%, prieskoniai ir ju ekstraktai, joduota druska, mam medžiagos, česnalo gam it kuotas a\nmilteliai, juodieji pipirai, saldžioji paprika}, majonezas 16% vanduo, rapsy aliejus, satautini min\nkrakmolas, garstyčios {vanduo, garstyčiy grūdeliai, spirito actas, druska, prieskoniai}, m marinuai j j\nmilteliai, tūnēts 260 druska, stabilizatoriai: e412, e415, e401, e410, gliukozēs stuņā kultūros\nti 11% {agurkai, spirito actas, druska, cukrus}, sūris 11% {pienas, druskā, u ta\nm mmm čemnako granules, svogūnu milteliai, aaraa tei acilās\nmy pēdsaku. ti i iki, žjūrēti t pakuotes. "tienos tā\nier pēdsaku. tinka vartoti iki: žiūrēti data ant pam  zsakvma. duonos, vištienos 3 pī\n\n'];6;6;['cepta vistas gaļa', 'vistas gaļa', 'olu dzeltenuma pulveris', 'siers', 'piens', 'siera ferments'];['siera ferments', 'vistas', 'vistas', 'olu', 'siers', 'vistas'];5;1;1;['siera ferments', 'siers', 'vistas', 'vistas', 'olu'];['piens'];['vistas']
n14;4;4;177;['pasterizēts govs piens', 'pārtikas ražošanas sāls', 'ieraugs', 'mikrobiooģiskais ferments'];[': ie a aa\n} | pasterizēts govs piens, pārtikas ražošanas sāls, rizm sa a\nieraugs, mikrobioloģiskais ferments. be s\nuzturvērtība 100g produkta: enerģētiskā vērtība 1449 5\nkj / 349 kcal. tauki 27g, tostarp: piesātinātās 500 sia\ntaukskābes 18g, ogļhidrāti og, tostarp: cukuri 0g, a\n=. olbaltumvielas 25g, sāls 1,2g. uzglabāt temperatūrā gt i ā:\nno +29 c līdz +6? c. iepakots aizsargatmosfērā {e941, eizitas a m s\nā e290}. izlietot līdz: skatīt uz iepakojuma. pēc rsiab iep "če\n8 atvēršanas izlietot 5 dienu laikā, bet nepārsniedzot uz 6 asa aa s — ,\niepakojuma norādīto termiņu. izcelsmes valsts a er r tr s a ra\n- - f : as os s g\n| produktam: nīderlande. fasēts: a/s "cesvaines piens”, b8 m i :\n- - - 0 - . es s ir ģ\nrāmuļu iela 25, lv-1005, rīga, latvija, tālrunis +371 8d s j\n” 22003887, www.cesvainespiens.lv se s : m\naa s sie rs m € d\n? pa a\n0228 pr r re kr rer :\n: u =" rs a ”.\na, : \' 17" s as a }\npt ialiates līdz: k _-— a\nsn a t\nes a t }\nsr ši s r ma\nm t4 tt a\n\n'];1;1;['pasterizēts govs piens'];['govs piens'];1;0;0;['govs piens'];[];[]
n15;21;21;94;['biezpiens', 'sviests', 'vīnogu lapas', 'vīnogu lapas', 'antioksidanti', 'e223', 'e224', 'sāls', 'skābuma regulētājs', 'citronskābe', 'e330', 'ķiploki', 'olīvas', 'sāls', 'biezinātāji', 'e407', 'e415', 'pētersīļi', 'maurloki', 'dilles', 'konservants kālija sorbāts'];[': biezpiens 51 m asā 4 * s\ns aa. e sviests, vīnogu lapas 8% {vīnogu lapas, antioksidanti: jā to aa\n: —— id ma {e223, e224}, sāls, skābuma regulētājs: citronskābs = aa a a\na w p4 = {e330}}, ķiploki 6%, olivas 15%, sāls, biezinātāji: {e407, au pan m g a\nza = e615}. pitorsīļi. maurloki, dilles, konservants kūli mk }\nm 7 n sorbāts. uzturvērtība 1009/100m| produkta: enerģētikā es sā lt db - "būs —\nvērtība {kj}: 1481, enerģātiskā vērtība {kcal}: 354, s ai\nal piesātinātās taukskābes {g}: 21.0, diašs. i m 8 _—\n„3 i =\n. ķ ra _u „\n- a aa "> m*\n$ di .\n4 " —\n\n'];2;2;['biezpiens', 'sviests'];['biezpiens', 'sviests'];2;0;0;['biezpiens', 'sviests'];[];[]
n20;21;21;204;['aunazirņi', 'rapšu eļļa', 'sezama pasta', 'burkāni', 'ūdens', 'mango biezenis', 'mango', 'cukurs', 'kokosriekstu piena pulveris', 'kokosriekstu piens', 'maltodekstrīns', 'piena olbaltumvielas', 'kokosrieksti', 'cukurs', 'sāls', 'skābe e330', 'ķiploki', 'konservanti', 'e211', 'e202', 'garšvielas'];[': aunazirņi 42%, rapšu\neļla, sezama pasta, burkāni, ūdens, mango biezenis 8% {mango 9%, cukurs},  pulveris 24 {,\nmaltodeksrīns piena olbaltumvielas} kokosrekst 2, cukurs, sāls skābe e230} kplokļ konservanteezi e22, garšmelas 100 g produkta\n\nuzturvērtība: energētskā vērtība 1298 ku! 314 kcal tauki 266 g, tostarp piesātnātās taukskābes 48 g, ogu hdrāt 36 g, tostarp cukura 32 6,\n\ngaedrmelas60g, 0 baitumvelas6 1g sāls 11g.ieteicamslīdz: skatīt uzepakojuma uzglabāttevperatūrāno +1 "cdt cražots noela:\n\npēcīpašarmi pasūtījuma aunazrņu mangobezeņaunkokosrekstuizcelsvmenavnīderlandeizplatītslatvā starīmi latvia dega en\nā rīga, lv-1021. bezmaksas tālrunis atsauksmēm latvija: 80000 180, humusas su mangais ir kokosais, sudedamosios dalys, avnzirnai 42%,\n\nrapsu alejus, sezamu pasta morkos vanduo, mangu tare 8% {manga! 90%, cukrus}, kokosu pieno milteliai 24 {kokos} pienas, maltodekstrīnas,\n\n| pieno balta, kokosau 2, cukrus druska, rūgštis e330 česnakas konservantak ez e202, ppieskonial1dogprodukto maistingumas: nero d\nv vertē 1298 k1/ 314 kcal, riebalai 266g is kuri sočiļju riebalu rūgšč 486, angliavandenai 96 g ls kuri cukru 3,2, skaidulines medziago5 606, ,\n41 baltymaig0g, druska 10g. geriausias ik: zuretidataani paklotēs lakvtinuo +1 c147 c temperatūroje.pagaminta nderlanduose pagal \'\na special rmi užsakvma ainžrnai mangu tvrērkokosai nērakle s nderlandļ platntojaslietuvojeuabrimilietuva spa0005g61 u\nn {5132, vilnius lietuva nemokamas klientu aptarnavimo centro tel e2800 e23000. 1 8 { ce\ndn a 75205010182712 08 |\n} 0s 7\nm} pet / |\n|! = / \' 1” / {}\nņ 4\nda | , 4\n} a / 4\nšā . , v\n\n'];1;1;['piena olbaltumvielas'];['piena'];1;0;0;['piena'];[];[]
