IMG;Ingr nr total - file;Ingr nr;Ingr nr identified;Ingr list;Ingr identified;Nr AB ingr - file;Nr AB ingr identified;AB ingr list - file;AB ingr list identified;Overlap (TP);Missed (FN);Extra (FP);AB ingr overlap (TP);AB ingr missed (FN);Wrongly flagged (FP)
n1;46;46;14;['saldējumam', 'piens', 'cukurs', 'sviests', 'ūdens', 'glikozes sīrups', 'sausās siera sūkalas', 'saldais krējums', 'emulgators taukskābju mono', 'un diglicerīdi', 'stabilizētāji', 'baltās akācijas sveķi', 'guāra sveķi', 'karagināns', 'sausais vājpiens', 'dabīgs aromatizētājs', 'sastāvdaļas piena šokolādei', 'cukurs', 'kakao sviests', 'kakao masa', 'pilnpiena pulveris', 'piena tauki', 'emulgatori', 'sojas lecitīni', 'e476', 'dabīgs aromatizētājs', 'sastāvdaļas aveņu', 'granātāolu mērcei', 'ūdens', 'cukurs', 'aveņu sulas koncentrāts', 'granātābolu sulas koncentrāts', 'kukurūzas ciete', 'citronu sulas koncentrāts', 'dabīgi aromatizētāji', 'biezinātāji', 'ksantāna sveķi', 'baltās akācijas sveķi', 'krāsviela antocianīni', 'sastāvdaļas glazūrai', 'augu eļļas', 'kokosriekstu', 'rapšu sēklu', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'emulgators lecitīni'];['— j k es\n4\n—_\nr _ ma bta a — — lilsss\n—\n- (a\n\n'];8;0;['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[];0;8;0;[];['piens', 'sviests', 'sausās siera sūkalas', 'saldais krējums', 'sausais vājpiens', 'sastāvdaļas piena šokolādei', 'pilnpiena pulveris', 'piena tauki'];[]
n3;34;34;0;['vaniļas saldējums', 'ūdens', 'cukurs', 'kokosa tauki', 'vājpiena pulveris', 'glikozes sīrups', 'sūkalu pulveris', 'emulgators 471', 'stabilizētāji', 'e410', 'e412', 'vaniļas pulveris', 'vaniļas aromatizētājs', 'krāsviela e160a', 'vafele', 'kviešu milti', 'cukurs', 'kokosa tauki', 'emulgators e322', 'sojas', 'dedzināts cukurs', 'sāls', 'kakao glazūra', 'kokosa tauki', 'cukurs', 'kakao pulveris ar samazinātu tauku saturu', 'rapšu eļļa', 'emulgatori', 'e322', 'sojas', 'e476', 'aromatizētāji', 'sāls', 'zemesrieksti'];['y: |\n\n'];2;0;['vājpiena pulveris', 'sūkalu pulveris'];[];0;2;0;[];['vājpiena pulveris', 'sūkalu pulveris'];[]
n5;35;35;327;['vājpiens', 'cukurs', 'krējums', 'no piena', 'glikozes sīrups', 'ūdens', 'kokosrieksts', 'kaltēti kokosrieksti', 'kokosriekstu piena pulveris', 'kakao sviests', 'kokosriekstu tauki', 'kakao masa', 'vājpiena pulveris', 'palmu tauki', 'saldināts kondensētais vājpiens', 'cepumi ar kokosriekstiem', 'cukurs', 'kokosriekstu skaidiņas', 'kviešu ciete', 'kviešu milti', 'piena olbaltumvielas', 'irdinātājs nātrija karbonāti', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'emulgatori', 'sojas lecitīns', 'e471', 'dabīgs aromatizētājs', 'stabilizētāji', 'e410', 'e412', 'nātrija kazeināts', 'no piena'];['83025 lt kokosiniai pieniški valgomieji ledai 63% su kakavos glaistu 34%, pabarstyti traškiais kokosiniais sausainiais 1,8%. ”\nsudedamosios dalys: nugriebtas pienas 20%, cukrus, grietinele (iš pieno), gliukozes sirupas, vanduo, kokosai 5.5% (džiovinti kokosai, kokosu\ngērimo milteliai), kakavos sviestas, kokosu riebalai, kakavos masē, nugriebto pieno milteliai, alyvpalmiu riebalai, saldintas sutirštintas nugriebtas 2 -\npienas, kokosiniai sausainiai 1.8% (cukrus, kokosu drožlēs 25%, kviečiu krakmolas, kvietiniai miltai, pieno baltymai, tešlos kildymo medžiaga  [\nnatrio karbonatai), pieno riebalai, laktozē, išrūgu permeatas (iš pieno), emulsikliai (sojy iecitinas, e471), natūrali kvapioji medžiaga, f | )b\nstabilizatoriai (e410, e412), natrio kazeinatas (iš pieno). sudētyje gali būti: žemes riešutu, migdolu, lazdyno riešutu. maistingumas 100 mi:\nenerginē verte 1124 kj/269 kcal, riebalu 16 g, iš kuriu sočuju riebalu rūgščiu 11 g, angliavandeniu 27 g, iš kuriu cukru 23 g, baltymu 3,1 g,\ndruskos 0,12 g. laikyti -18 ”c temperatūroje. atitirpinus pakartotinai neužšaldyti. tinka vartoti iki: žr. ant pakuotes. uab mars lietuva , lvovo .\ng.101 lt-08104 vilnius =(85) 266 0726, informoeffem com. lv kokosriekstu piena saldējums 63% kakao glazūrā 34% ar kraukšķīgiem )\nkokosriekstu cepumiem 1.8%. sastāvdaļas: vājpiens 20%, cukurs, krējums (no piena), glikozes sīrups, ūdens, kokosrieksts 5.5% (kaltēti\nkokosrieksti, kokosriekstu piena pulveris), kakao sviests, kokosriekstu tauki, kakao masa, vājpiena pulveris, palmu tauki, saldināts kondensētais\nvājpiens cepumi ar kokosriekstiem 1.8% (cukurs, kokosriekstu skaidiņas 25%, kviešu ciete, kviešu milti, piena olbaltumvielas, irdinātājs nātrija\nkarbonāti) piena tauki, laktoze, sūkalu permeāts (no iradaaks emulgatori reta or zoo an teu ii : e a č:\n\nila kazei ji ēt: i lazdu riekstus.uzturvērtība 100 g: enerģē āā\nnātrija kazeināts (no piena). var saturēt: zemesriekstus, mandeles, | j r at a iams\n\ni iesāti | tostarp cukuri 23 g, olbaltumvielas 3,1 g, sāls 0,12 g. uzglabāt temperatūrā\ntauki 16 g, tostarp piesātinātās taukskābes 11 g, ogļhidrāti 27 g, aaa bei amieka zemak lmaumarsliav a see pona ielai kv: .\n*6 pēc atlaidināšanas atkārtoti nesasaldēt. ieteicams līdz derīguma ar oo : sb : ) at toēkon — katkocačikliga |\n\n=80002005, intormoeffem.com. ee kookospāhkli-piimajāštis 63% kakaog irig šo, \' nē\na a a a a aa |\nk : soma pl d mu = ka atv sal atv alnas a dļi lai jaik ļ saine mka\n» a\nž āā :\n"— ā =\nm «ar\na , . \'\nve\n" 4 k ņ s . + a\n\n'];12;11;['vājpiens', 'krējums', 'no piena', 'vājpiena pulveris', 'saldināts kondensētais vājpiens', 'piena olbaltumvielas', 'piena tauki', 'laktoze', 'sūkalu permeāts', 'no piena', 'nātrija kazeināts', 'no piena'];['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'sviests', 'vājpiens', 'piena', 'laktoze', 'sūkalu', 'piena'];10;2;1;['vājpiena pulveris', 'piena tauki', 'nātrija kazeināts', 'vājpiens', 'krējums', 'laktoze', 'vājpiens', 'piena', 'sūkalu', 'piena'];['no piena', 'no piena'];['sviests']
n6;44;44;208;['tumšā šokolāde', 'kakao masa', 'cukurs', 'kakao sviests', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'piena šokolāde', 'cukurs', 'kakao sviests', 'pilnpiena pulveris', 'kakao masa', 'emulgators', 'sojas lecitīns', 'dabīgs vaniļas aromatizētājs', 'augu eļļas', 'palmu', 'rapšu', 'piena tauki', 'saldais krējums', 'saldais krējums', 'emulgators', 'e471', 'stabilizētājs', 'karagināns', 'amber šokolāde', 'cukurs', 'kakao sviests', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki', 'emulgators', 'saulespuķu lecitīns', 'dabīgs vaniļas aromatizētājs', 'balzams', 'alc', 'tilp', 'rudzu rīvmaize', 'mokas aromātpasta', 'glikozes sīrups', 'glikozes sīrups', 'antioksidants', 'sēra dioksīds', 'kaltētas dzērvenes'];['j an tumšās šokolādes konfektes, kas gatavotas no\na īstas beļģu šokolādes. tai pievienojot tikai pašas\nizsmalcinātākās un garšīgākās sastāvdaļas.\nsokolādes konfektes apvieno garšas, kas pilnas\nmmaiguma un reibinošas laimes sajūtas.\nsokolāde ir dabisks laimes avots, dāvājiet to sev\nun saviem mīļajiem!\nsastāvdaļas: tumšā šokolāde 40% (kakao masa, cukurs, kakao sviests, emulgators: sojas lecitīns, dabīgs\nvaniļas aromatizētājs), piena šokolāde (cukurs, kakao sviests, pilnpiena pulveris, kakao masa, emulgators:\nsojas lecitīns, dabīgs vaniļas aromatizētājs, augu eļļas (palmu, rapšu), piena tauki), saldais krējums (saldais\nkrējums, emulgators: e471, stabilizētājs: karagināns), amber šokolāde (cukurs, kakao sviests, vājpiena\npulveris, sūkalu pulveris, piena tauki, emulgators: saulespuķu iecitīns, dabīgs vaniļas aromatizētājs), balzams\n3% (alc. 40% tilp.), rudzu rīvmaize, mokas aromātpasta, glikozes sīrups (glikozes sīrups, antioksidants: sēra\ndioksīds), kaltētas dzērvenes.\nenerģētiskā vērtība: 2104 kj/ 504 kcal. 100 g produkta satur: taukus 33 g, tostarp piesātinātās taukskābes\n20 g, ogļhidrātus 44 g, tostarp cukuri 37 g, olbaltumvielas 448 g, sāli 0,21 g.\nieteicamā uzglabāšanas temperatūra: +15 ”c līdz +20 ”c. pēc atvēršanas izlietot 10 dienu laikā. produkta\ngatavošana notiek vidē, kur var atrasties zemesriekstu, lazdu riekstu, valriekstu, mandeļu, pistāciju, sezama\nsēklu, olu, piena, sojas, kviešu un rudzu miltu daļiņas.\nneto daudzums: n x produkts ražots: sia „lāči”, „benūžu - skauģi”, babītes\n108 (wt (0) ce pagasts, mārupes novads, lv-2107, latvija.\ng tālr.: +37166047551, e-pasts: infoolaci.lv, www.laci.lv\na a ieteicams līdz:\n05 u4 2729\nvl 417522361001011\n\n'];8;9;['piena šokolāde', 'pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'saldais krējums', 'vājpiena pulveris', 'sūkalu pulveris', 'piena tauki'];['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu', 'sviests', 'sviests', 'sviests', 'olu'];5;3;4;['pilnpiena pulveris', 'piena tauki', 'saldais krējums', 'vājpiena', 'sūkalu'];['piena šokolāde', 'saldais krējums', 'piena tauki'];['sviests', 'sviests', 'sviests', 'olu']
n7;25;25;167;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'kviešu milti', 'ūdens', 'olu baltuma masa', 'cāļu ādas', 'rīvmaize', 'satur kviešus', 'rudzus', 'miežus', 'krējums', 'sāls', 'augu valsts šķiedrvielas', 'aromatizētāji', 'satur rauga ekstraktu', 'skābuma regulētāji', 'e262', 'e331', 'sviesta pulveris', 'biezinātājs e415', 'antioksidanti', 'askorbīns un citronskābe', 'dekstroze', 'cukurs', 'garšvielu ekstrakti'];['u m ās a g” pp a z==\nes — —  š = "x s) 4 |, 4 i + ——ā s\n\na šas ———— ara ada d r: š\n\ndaudz proteīna : bez e621-350g 8\n\nceptas požarska kotletes. sastāvdaļas: cāļa fileja 30%, mehāniski atdalīta cāļa gaļa, kviešu milti, ūdens, olu baltuma masa, cāļu ādas, rīvmaize (satur ==\n\nkviešus, rudzus, miežus), krējums, sāls, augu valsts šķiedrvieļas, āromatizētāji (satur rauga ekstraktu), skābuma regulētāji: e262, 6331, sviesta pulveris, es\nbiezinātājs 6415, antioksidanti: askorbīnsun citronskābe, dēlstroze, cukurs, garšvielu ekstrakti. tat ?\n\n| z 100gproduktavidējisatur:enerģētiskā vērtība 9401 / 225 kcal, tauki 13 g, tostarp piesātinātās taukskābes 3,3 g, ogļhidrāti 13 g, tostarp cukuri 1,79, ira\n8m olbaltumvielas 14g, sāls 1,5 g. uzglabāšanas temperatūra: +2... +67. ha\n\nm ea\n\nproduktā iespējama šādu alergēnu klātbūtne: soja, ca:\n\n4 e) sinepes, selerijas un auzas. produkts cepts rapšu eļļā. n\n\n4 iepakots aizsargatmosfērā. pēc iepakojuma atvēršanas s:\n\n| izlietot 48h laikā. ražots igaunijā. mā is\n\nmatu izplatītājs: as "hkscan latvia", atlasaiela 7, mēs\n\nizlietot līdz: ) = lrumis atsauksmēm: 80005100 3\n\n— ? ? 03 23 rīga, lv-1026. tālrunis atsauksmēm: . m s\n\nm es lacni li\n\n'];6;6;['cāļa fileja', 'mehāniski atdalīta cāļa gaļa', 'olu baltuma masa', 'cāļu ādas', 'krējums', 'sviesta pulveris'];['cāļa fileja', 'gaļa', 'olu baltuma', 'cāļu ādas', 'sviesta pulveris', 'krējums'];6;0;0;['cāļa fileja', 'cāļu ādas', 'sviesta pulveris', 'krējums', 'gaļa', 'olu baltuma'];[];[]
n11;30;30;167;['cāļa gaļa', 'dzeramais ūdens', 'vistas āda', 'kviešu milti', 'kalcija karbonāts', 'dzelzs', 'b3 un b1 vitamīni', 'raugs', 'garšvielas', 'paprika', 'kurkuma', 'kviešu glutēns', 'saulespuķu eļļa', 'ciete', 'rīsu milti', 'irdinātāji', 'difosfāts', 'nātrija hidrogēnkarbonāts', 'dekstroze', 'kviešu šķiedras', 'piena olbaltumvielas', 'satur laktozi', 'maltodekstrīns', 'skābuma regulētāji', 'amonija karbonāts', 'nātrija acetāts', 'citronskābe', 'antioksidants', 'askorbīnskābe', 'sāls'];['he produkts. cepts ef 0\n= gatavs lietošanai saulespu ķu eļļā | protei ots\nmae fully cooked  cooked in sunflower oil great source of protein %\na —ņarūtnumm=»»»w=w—— md t m\nš* iceptil sastāvdaļas: cāļa gaļa 47\'l, dzeramais ūdens, vistas ča, kviešu milti (kalcija karbonāts, dzelzs, ņ |\n: b3 un b1 vitamīni), raugs, garšvielas aemuka kurkuma), kviešu gucēns, a eļļa, ciete, rīsu milti, =\nž ur difosfāts, nātrija hidrogēnkarbonāts, dekstroze, kviešu šķiedras, piena olbaltumvielas (satur\n" laktozi), maltodekstrīns, skābuma regulētāji: amonija karbonāts, nātrija acetāts, citronskābe, antioksi-\n- dants: askorbīnskābe, sāls. var saturēt: soja, rieksti, sinepes, atekn 100 g uj vidēji satur: enerģē- n\ntiskā vērtība 910 kji 218 kcal, tauki 11,0 g, tostarp piesātinātās taukskābes 2,3 ļ ogļhidrāti 17.8 g, tostarp ņ\n: cukuri 0,8 g, olbaltumvielas 12,0 g, sāls 16 f zs temperatūrā *2 c līdz +6 "c. izlietot līdz: 4"751015"\'685367 ns\nskatīt uz etiķetes. iepakots aizsargatmosfērā. pēc iepakojuma atvēršanas izlietot 48 h laikā. n ,\n. ražots: sia "gaļas nams - ādaži" parka iela 8, lielvārde, ogres novads, lv-5070, latvija. n n\na caļa gaļas izcelsme ir es nitēkr go .\nx *. ij 0\n\n'];4;6;['cāļa gaļa', 'vistas āda', 'piena olbaltumvielas', 'satur laktozi'];['cāļa gaļa', 'vistas', 'piena', 'laktozi', 'gaļas', 'gaļas'];4;0;2;['cāļa gaļa', 'vistas', 'piena', 'laktozi'];[];['gaļas', 'gaļas']
n13;58;58;362;['maize', 'kviešu milti', 'ūdens', 'cukurs', 'rudzu milti', 'raugs', 'rapšu eļļa', 'sāls', 'inaktivēts rudzu ieraugs', 'emulgatori', 'e471', 'e472e', 'kviešu lipeklis', 'irdinātājs e503', 'miltu apstrādes līdzeklis e300', 'cepta vistas gaļa', 'vistas gaļa', 'garšvielas', 'garšvielu ekstrakti', 'jodēts sāls', 'aromatizētāji', 'ķiploku granulas', 'sīpolu pulveris', 'melnie pipari', 'paprika', 'majonēze', 'ūdens', 'rapšu eļļa', 'cukurs', 'modificēta ciete', 'sinepes', 'ūdens', 'sinepju sēklas', 'spirta etiķis', 'sāls', 'garšvielas', 'olu dzeltenuma pulveris', 'skābe e260', 'sāls', 'stabilizētāji', 'e412', 'e415', 'e401', 'e410', 'glikozes sīrups', 'marinēti gurķi', 'gurķi', 'spirta etiķis', 'sāls', 'cukurs', 'siers', 'piens', 'sāls', 'ierauga kultūras', 'siera ferments', 'ķiploku granulas', 'sīpolu pulveris', 'pētersīļi'];['porām majonees 16 % |vesi, rapsiseemneēli, sunkur, modintseeritud a «\ntārklis, sinep (vesi, sinepiseemned, piiritusāādikas, s00|, vūrtsid), a a\naaa garā hape e260, sool, stabilisaatorid: e412, e415, e401, e410,\nglūkoosisiirup), marineeritud kurgid 11% (kurgid, piiritusāādikas, sool, suhkur), sāilitusaine m\ne211), juust 11% (piim, sool, starterkultuurid, laap), a an sibulapulber, petersell.\nvēlb sisaldada kala, soja, selleri ja seesami "i kēlblik kuni: vaata pakendit, sailitada -\ntemperatuuril +2 "c kuni +6 "c. toodetud leedus rimi eritellimusel. leiva, kana paritolu: el. edasimūūja da .\neestis, rimi eesti food as, pērguvālja tee 3, pildikūla, rae vald, 75308 harjumaa, eesti. infotelefon eestis, ”\n+372 6056333. pakendatud gaasikeskkonda.\nle skandināvu sviestmaize ar vistu. sastāvdaļas: maize 44% (kviešu milti, ūdens, cukurs, rudzu milti,\nraugs, rapšu eļļa, sāls, inaktivēts rudzu ieraugs, emulgatori: e471, £472e, kviešu lipeklis, irdinātājs e503, miltu\napstrādes līdzeklis 300), cepta vistas gaļa 18% (vistas gaļa 95%, garšvielas, garšvielu ekstrakti, jodēts sāls,\naromatizētāji, ķiploku granulas, sīpolu pulveris, melnie pipari, paprika), mejomīz 16% (ūdens, nu eļļa,\ncukurs, modificēta ciete, sinepes (ūdens, sinepju sēklas, spirta etiķis, sāls, garšvielas), olu dzeltenuma\npulveris, skābe e260, sāls, stabilizētāji: e412, e415, e401, e410, glikozes sīrups), marinēti gurķi 11% (gurķi, u\nspirta etiķis, sāls, cukurs), siers 11% (piens, sāls, ierauga kultūras, siera ferments), ķiploku granulas, sīpolu ,\npulveris, pētersīļi. var saturēt zivju, sojas, selerijas un sezama sēklu daļiņas. izlietot līdz: skatīt uz iepakojuma.\nuzglabāt temperatūrā no +2 "c līdz +6 "c. ražots lietuvā pēc īpaša rimi pasūtījuma. maizes, vistas izcelsme:\nes. izplatītājs latvijā: sia rimi latvia, a. deglava iela 161, rīga, lv-1021. bezmaksas tālrunis atsauksmēm\nlatvijā: 80000 180. lepakots aizsargatmosfērā. a\nlea skandinaviškas sumuštinis su vištiena. sudedamosios dalys: duona 44% (kvietiniai c «a\ncukrus, ruginiai miltai, mielēs, rapsu aliejus, druska, inaktyvintas ruginis rauga, emulsikliai ištiena 18%\nkviečiu glītimas, tešlos kildymo medžiaga e503, miltu apdorojimo medžiaga e300), kepta lēs svogūnu\nivištiena 95%, prieskoniai ir ju ekstraktai, joduota druska, a bondu medžiagos, česnalo a ,\nmilteliai, juodieji pipirai, saldžioji paprika), majonezas 16% (vanduo, rapsy aliejus, "argušini trniv\nkrakmolas, garstyčios (vanduo, garstyčiu grūdeliai, spirito actas, druska, prieskoniai), a marinuoi\nmilteliai, rudēts 1260 druska, stabilizatoriai: e412, 6415, £401, e410, gliukozēs supās atūros\ndā 11% (agurkai, spirito actas, druska, cukrus), sūris 119 (pienas, druska, ausrēnu ir\n: mē amen česnato granules, svogūnu milteliai, pora atm acid 60t m\namu pedsaku. ti iki šinreti t pakuotes. 64 4\nter pēdsaku. tinka vartoti iki: žiūrēti data ant bai zsakyma. duonos, vištienos 39 =\n\n'];6;8;['cepta vistas gaļa', 'vistas gaļa', 'olu dzeltenuma pulveris', 'siers', 'piens', 'siera ferments'];['siera ferments', 'vistu', 'vistas', 'vistas', 'olu', 'siers', 'zivju', 'vistas'];5;1;3;['siera ferments', 'siers', 'vistas', 'vistas', 'olu'];['piens'];['vistu', 'zivju', 'vistas']
n14;4;4;774;['pasterizēts govs piens', 'pārtikas ražošanas sāls', 'ieraugs', 'mikrobiooģiskais ferments'];['= a\nsi\ncs ee pa be ers\n- : b uk\n—— 2 pp t at a x\nps šas _—_ a a we\n— u uk u s nou\n- —— y sci u rs d a\nes - l d s a m\n" — pas ets a au asā\ns a — t s m j ka m bs\n— ier erizē vid as nā \' aaa a\n- - - u na ēji mit 45% sn\' ķ _—\nn via eine diam\n: a š: ) |tre rum 9: šš ļ m āā _— ma\nua gov vai 5 ķē m —\ncu j ru tiri mt art iz n\nm rtīb robio čti 8% ķēlīt c fr —\na pild dal x ds as\n0) ksk 349 a1 iolo sens a - es 4 ma ar\nlb ā 00 gi s ta 1 - telti ņa -— ž a\nn al be k 8 iskais vi 5 a |" param a\no tu s cal p ai pā nā [4] j , m\ne + m 1 ro s fi ārti ts ie jitoj  —\n2 29 vi 8 d d e i i % eat ā :\n| 9 ie g u r k sl atviti - š i\n[0] c l a m a e vai a aaa ,\n: a ) lī as mo uki t e s rs au :: ie  " j la\n4 tvē īd i a: n kit - m\n” - 2 8 ” t .« s izbļi ii ies via x 4 šā )\nie ērš iz z 5 h 2 n s raž a s rij amu | a :\na li +69 8 id 7 erģi žoš stā m: lu 2 m:\np ak na eto c. sā rāti 8, rģē ša āvd /— ij m = : i alā. iiēškna dā\nš r oj si t ti n a sit ž ati saki vi vata jūgā an\nr od jum izli līd le s1 0 os skā as as bizikei a ba ur — g āā\npā pv ho a ivijs m3) = " hraci (7\nž ā ukt a iet īd pa 2 8 ta ā vē sā : —— ji 4) ba < =\nm a 9) z: k 8 „ t r e a | r neo pie š -- —\n22 uļ m n t5 . ot . u [0] :, rū s m ie ižēga r 2: ā\nm kvm o urēās aka ba ņ — m 8 , -\n38 iel īd dī ie atī iz la rp iesā 1 — kas __\n8 a e īt n t s bā : sā 4 me šīs — 2 a s ze\n[9] u a a šā ti 4 —— 4 ze us = ē\n5 rla | r t [0| 9 —— s ks\n„w n ai u ga t uk nā -  —_ a —— | ā\n, d ikā z t e u tā ii apiei su i 8 m ge šš - | s\nw l e t a : m m : a —— u -—_ :\nģ ww e i ri s mia 1 a 8 a ļ\n1 „f rm „b ep osfē pe 0 —— : -—— i |\nc 0 asē i e a ss . __ 2 .\ne 0 s l k e z ra - — a\nvei svai 5 ēts ņu ne oj rā tū ū ——_ — ā :\n- īne: rīg la/s z pār um (e9 šā — — s\n6 —— - a a : i \'\nspi a, s”c cel sni a: 1 —— i - - \'"\n—— izli 4 en la sm ed pē , — "a — |\n2 mas a paš ks šo aa) = - 2 k: " re. aka :\n—— ne) ie 7 s.l vij sv e 740) ec i tu a vrs a - m\n27 c t 5 „iv ija ai s t —_ —\ns ot lī 04 mt ine vv uz — ——\n8 l līd 8 ālr s pi alst —— —_\nzz. 5 uni ien š ē\n00 5 + s” | _ -—_\nbs — — ņ m - a rē č: a\n05 371 —— š ——\nj a r = r kri\n8 i — | s m ā\nan —— ) 4\n—— pa pa _ — - v\n"5 - _ s\n2 = ā\n22800 = ik\nr m as - a ar — as\na _—— las, ds 4 a m\n- a 3 ņ ——— ls za\ni -—_ s — j a\n\' / x zi ad — —\n-_ — t s ou ā\n4 š r zs —) če as pi īrs = š\n_ ie g s -\na —— s ss ls ā\nš za — | da s\nē ās ģ\n-— ne ā)\n[0 s3 = = s š g aš - ra a s s\n< m s\n _ — ,\n— da sa s — tā\nla — s :, ba s\n— _\ns n  -\n* ka a\nd s\nn s , r 5\nri\nr v\n\n'];1;0;['pasterizēts govs piens'];[];0;1;0;[];['pasterizēts govs piens'];[]
n15;21;21;144;['biezpiens', 'sviests', 'vīnogu lapas', 'vīnogu lapas', 'antioksidanti', 'e223', 'e224', 'sāls', 'skābuma regulētājs', 'citronskābe', 'e330', 'ķiploki', 'olīvas', 'sāls', 'biezinātāji', 'e407', 'e415', 'pētersīļi', 'maurloki', 'dilles', 'konservants kālija sorbāts'];['dj a 14 ba baa\nas\n4 .\nn : $\n: - = izlietot linz i n a d dana a\ngs = 16-02-2023 tramm e10\njj h as surrs, kg cena, €/kg 316 | be\nmm 0182—1739 135 ba ā\nx % ļ ss an : b t līdz 80 sactāuds a etdiena s / " r 3: aaa\nva n ss uzglabāt: no £ c līdz 8 c. sastāvdaļas: biezpiens zi a —\ni sv k sviests, vinogu lapas 8% (vīnogu lapas, antioksidanti: j 0 ada\n. — id ļ (e223, e224), sāls, skābuma regulētājs: citronskābe ka 1 a\nrm v ez = (6330), ķiploki 6%, olīvas 1,5%, sāls, biezinātāji: (e407, a mu nas n "\npe 204 „m, e415), pētersīļi, maurloki, dilles, konservants kālija a av m\na oo sorbāts. uzturvērtība 1009/100m! produkta: enerģētiskā en ai. 7 "būs "2\nvērtība (kj): 1481, enerģātiskā vērtība (kcal): 354, i ad\nal fiesātinātās taukskābes (g): 21.0, „str —\n, ā =\ndd io\n4 " a i\n\n'];2;2;['biezpiens', 'sviests'];['biezpiens', 'sviests'];2;0;0;['biezpiens', 'sviests'];[];[]
n20;21;21;318;['aunazirņi', 'rapšu eļļa', 'sezama pasta', 'burkāni', 'ūdens', 'mango biezenis', 'mango', 'cukurs', 'kokosriekstu piena pulveris', 'kokosriekstu piens', 'maltodekstrīns', 'piena olbaltumvielas', 'kokosrieksti', 'cukurs', 'sāls', 'skābe e330', 'ķiploki', 'konservanti', 'e211', 'e202', 'garšvielas'];['ī d i\na :»\ngt hummus mango ja kookospāhkliga,\nkoostisosad, kikerhernes 42%, rapsiēli, seesamipasta, porgand, v,\n, m mngopūree 8% (mango 90%, sukkur, kookospimapulber 296 kookospīm,\n"-" maltodekstrin, pimavalk kookospāfkel 29 suhkur, 5001, hapee330, kuuslauk saltusanede2, —"\n8 paor:mūrtsd. totumisalaneteave 100g:energiassaldus 298kj/314kcal rasvad 2666 mlestkullastunud\n. rasvhapped 48 gg, susveskud 96 g, millest suhkrud 32 g, kudained 60 g, valgud 60g, s001 10 g.parīm enne: vanta\npakendilt, sālutada temperatuurl +1 c kun +7 c toodetud madalmaades rīmi ertellimusel kkerherned, mangopureeja\nģ kookospāhkud el ole pārt madalmaadest. edasimudja eesti: rimi eesti f00d as, porguvala tee 3, pildikula, rae vald, 75308\nai 4 harjumaa, eest. infotelefoneestis: +37260050333. 157 humossar mangounkokosriekstiem, sastāvdaļas: aunazirņi429 rapšu\nv eļļa, sezama pasta, burkān, ūdens, mango biezenis 8% (mango 90%, cukurs), kokosriekstu piena pulveris 2% (kokosriekstu piens,\nmaltodeksrīns piena olbaltumvielas) kokosrekst 2, cukurs, sāls skābe e230) kplokļ konservanteezi e22, garšmelas 100 g produkta\nuzturvērtība: energētskā vērtība 1298 ku! 314 kcal, tauki 266 g, tostarp piesātnātās taukskābes 48 g, ogu hdrāt 36 g, tostarp cukura 32 6,\n] gaedrmelas60g, 0 baitumvelas6 1g sāls 11g.ieteicamslīdz: skatīt uzepakojuma uzglabāttevperatūrāno + "cdt cražots noela:\n% pēcīpašarmi pasūtījuma aunazrņu mangobezeņaunkokosrekstuizcelsvmenavnīderlandeizplatītslatvjā starīmi latvia dega en\n| rīga, lv-1021. bezmaksas tālrunis atsauksmēm latvijā: 80000 180. humusas su mangais ir kokosais, sudedamosios dalys: avinzirnai 42%, ki\nņ rapsu alejus, sezamu pasta, morkos, vanduo, mangu tyre 8% (mangai 90% cukrus), kokosu pieno milteliai 246 (kokosu pienas, maltodekstrinas,\npieno balta, kokosau 2, cukrus druska, rūgštis e330 česnakas konservantak ez e202, ppieskonial1dogprodukto maistingumas: nero\nverte 1298 6j/ 314 kcal, riebalai 266 gs kuri sočiļju riebalu rūgšču 486, angliavandenai 96 g is kuri cukri 3,2g, skaidulines medziag0560g, .\nbaltymai60g, druska 10g. geriausias īkl: zūretidatajant pakuotes.laikyt nu0+1 c kl47c temperatūroje, pagaminta nyderlanduose pagal d\nspecial rmi užsakvma ainžrnai mangu tvrērkokosai nērakle š nderlandļ platntojaslietuvoje uab rīmilietuva spa0005g61 u\n05132, vilnius, letuva. nemokamas klientu aptarnavimo centro tel 8800 29000. 18 ( g ce\nga 752050,018271, > \' 4\n9\nnd pet dk"\n) ja e) . /\na „ v ā\n$ le 4\nn nba m a i\nā j a "i a a 4 i\n\n'];1;3;['piena olbaltumvielas'];['piena', 'piens', 'piena'];1;0;2;['piena'];[];['piens', 'piena']
